2016,2,23,8,00,611,387
2016,2,28,8,00,625,424
2016,3,5,8,00,657,461
2016,3,11,10,15,638,495
2016,3,17,14,17,685,544
2016,3,23,13,07,696,550
2016,3,27,13,09,666,572
2016,4,1,16,51,702,611
2016,4,6,12,09,724,638
2016,4,11,19,30,750,675
2016,4,17,13,00,753,689
2016,4,22,15,40,769,711
2016,4,27,15,00,760,720
2016,5,3,21,16,801,757
2016,5,9,15,00,804,746
2016,5,13,13,50,803,775
2016,5,22,11,00,903,886
2016,5,26,21,00,825,796
2016,5,30,15,21,818,798
2016,6,4,22,00,833,813
2016,6,11,11,00,826,789
2016,6,14,15,00,843,820
2016,6,21,15,00,856,835
2016,6,27,13,15,851,808
2016,7,1,14,30,859,846
2016,7,5,15,30,858,859
2016,7,9,14,30,867,843
2016,7,14,10,00,885,851
2016,7,18,15,00,898,866
2016,7,24,14,00,911,870
2016,7,29,15,00,899,861
2016,8,2,17,00,904,882
2016,8,14,15,00,911,877
2016,8,18,15,00,930,894
2016,8,23,13,30,919,890
2016,8,28,14,00,916,882
2016,9,1,15,00,912,894
2016,9,7,15,00,918,896
2016,9,11,13,30,892,896
2016,9,12,15,00,925,910
2016,9,20,15,00,938,929
2016,9,26,15,00,921,925
2016,9,29,15,00,923,916
2016,10,4,15,00,946,928
2016,10,14,10,30,923,908
2016,10,21,10,30,935,931
2016,10,24,15,00,939,933
2016,10,28,15,00,939,932
2016,11,9,15,00,952,938
2016,11,13,15,00,955,950
2016,11,16,15,00,955,955
2016,11,27,15,00,973,977
2016,12,9,15,00,968,962
2016,12,23,15,00,957,967
2017,1,7,16,00,964,979
2017,1,15,15,30,974,975
2017,2,1,14,00,943,984
2017,2,17,16,57,969,991
2017,2,24,18,59,956,989
2017,3,4,15,08,946,986
